Timestamp,RA,Dec
00:53.0,173.8953763,-0.148651461
00:53.1,173.8953763,-0.148651461
00:53.2,173.8953763,-0.148651461
00:53.3,173.8953752,-0.14865146
00:53.4,173.8953752,-0.14865146
00:53.5,173.8953741,-0.148651458
00:53.7,173.8953732,-0.148651457
00:53.7,173.8953732,-0.148651457
00:53.8,173.8953732,-0.148651457
00:53.9,173.8953721,-0.148651455
00:54.1,173.8953721,-0.148651455
00:54.2,173.8953711,-0.148651454
00:54.2,173.8953711,-0.148651454
00:54.4,173.89537,-0.148651452
00:54.5,173.89537,-0.148651452
00:54.6,173.8953691,-0.148651451
00:54.7,173.8953691,-0.148651451
00:54.8,173.8953679,-0.148651449
00:54.9,173.8953679,-0.148651449
00:55.1,173.8953668,-0.148651448
00:55.1,173.8953668,-0.148651448
00:55.3,173.8953655,-0.148651446
00:55.3,173.8953655,-0.148651446
00:55.4,173.8953655,-0.148651446
00:55.6,173.8953645,-0.148651444
00:55.7,173.8953645,-0.148651444
00:55.8,173.900086,-0.143822204
00:55.9,173.900086,-0.143822204
00:56.0,173.9215416,-0.119043368
00:56.1,173.9215416,-0.119043368
00:56.2,173.9974864,-0.029059532
00:56.3,173.9974864,-0.029059532
00:56.5,174.0694373,0.057128054
00:56.6,174.0694373,0.057128054
00:56.7,174.1549794,0.159785098
00:56.8,174.1549794,0.159785098
00:56.9,174.3006495,0.335026389
00:57.0,174.3006495,0.335026389
00:57.1,174.5069141,0.583609361
00:57.2,174.5069141,0.583609361
00:57.3,174.5069141,0.583609361
00:57.4,174.7204652,0.840983043
00:57.5,174.7204652,0.840983043
00:57.7,175.0286939,1.214417529
00:57.7,175.0286939,1.214417529
00:57.9,175.0286939,1.214417529
00:58.0,175.2965787,1.538355368
00:58.1,175.2965787,1.538355368
00:58.2,175.603614,1.909290668
00:58.3,175.603614,1.909290668
00:58.4,175.9388622,2.314422141
00:58.5,175.9388622,2.314422141
00:58.7,176.2093988,2.642984438
00:58.8,176.2093988,2.642984438
00:58.9,176.5925828,3.105752159
00:59.0,176.5925828,3.105752159
00:59.1,177.0309926,3.636637936
00:59.2,177.0309926,3.636637936
00:59.3,177.0309926,3.636637936
00:59.4,177.591574,4.31565432
00:59.5,177.591574,4.31565432
00:59.6,177.9783408,4.785731663
00:59.7,177.9783408,4.785731663
00:59.8,178.4863394,5.401449126
01:00.0,178.4863394,5.401449126
01:00.1,179.0050087,6.029277449
01:00.2,179.0050087,6.029277449
01:00.4,179.6793598,6.850255952
01:00.4,179.6793598,6.850255952
01:00.5,179.6793598,6.850255952
01:00.6,179.6793598,6.850255952
01:00.7,180.3308827,7.641931415
01:00.8,180.3308827,7.641931415
01:00.9,180.8709591,8.298221939
01:01.0,180.8709591,8.298221939
01:01.2,181.3888784,8.927579775
01:01.3,181.3888784,8.927579775
01:01.4,181.77129,9.392260485
01:01.5,181.77129,9.392260485
01:01.6,182.2996042,10.03346988
01:01.8,182.2996042,10.03346988
01:01.8,182.8578568,10.71187732
01:02.0,182.8578568,10.71187732
01:02.1,183.2584616,11.19871537
01:02.2,183.2584616,11.19871537
01:02.3,183.7893262,11.84228061
01:02.4,183.7893262,11.84228061
01:02.5,184.1859837,12.32594494
01:02.6,184.1859837,12.32594494
01:02.7,184.7285396,12.98452519
01:02.8,184.7285396,12.98452519
01:03.0,185.3759386,13.7705439
01:03.1,185.3759386,13.7705439
01:03.2,185.3759386,13.7705439
01:03.3,186.0154857,14.54864653
01:03.4,186.0154857,14.54864653
01:03.5,186.0154857,14.54864653
01:03.6,186.6888589,15.36788457
01:03.7,186.6888589,15.36788457
01:03.8,187.2065788,15.99634935
01:03.9,187.2065788,15.99634935
01:04.0,187.2065788,15.99634935
01:04.2,187.8746972,16.8092444
01:04.3,187.8746972,16.8092444
01:04.4,188.4210384,17.47411821
01:04.5,188.4210384,17.47411821
01:04.6,188.4210384,17.47411821
01:04.7,189.0630606,18.25453513
01:04.9,189.0630606,18.25453513
01:04.9,189.4615441,18.73814689
01:05.0,189.4615441,18.73814689
01:05.1,190.0149763,19.40932579
01:05.2,190.0149763,19.40932579
01:05.4,190.5364962,20.04567893
01:05.5,190.5364962,20.04567893
01:05.6,191.1126706,20.74454217
01:05.7,191.1126706,20.74454217
01:05.8,191.1126706,20.74454217
01:06.0,191.7643531,21.53839421
01:06.0,191.7643531,21.53839421
01:06.2,191.7643531,21.53839421
01:06.3,192.4277105,22.34568605
01:06.4,192.4277105,22.34568605
01:06.5,192.9491358,22.97805465
01:06.6,192.9491358,22.97805465
01:06.7,192.9491358,22.97805465
01:06.8,193.4926807,23.63653292
01:06.9,193.4926807,23.63653292
01:07.0,194.1468574,24.43352154
01:07.1,194.1468574,24.43352154
01:07.3,194.5465025,24.91945934
01:07.4,194.5465025,24.91945934
01:07.5,194.5465025,24.91945934
01:07.6,195.3444732,25.89134943
01:07.7,195.3444732,25.89134943
01:07.8,195.3444732,25.89134943
01:08.0,196.0148272,26.70492896
01:08.1,196.0148272,26.70492896
01:08.1,196.5387358,27.34123345
01:08.2,196.5387358,27.34123345
01:08.4,197.0892901,28.01235187
01:08.5,197.0892901,28.01235187
01:08.6,197.0892901,28.01235187
01:08.7,197.756315,28.82277672
01:08.8,197.756315,28.82277672
01:09.0,198.1538902,29.30869631
01:09.0,198.1538902,29.30869631
01:09.1,198.6809559,29.94814886
01:09.2,198.6809559,29.94814886
01:09.4,199.208017,30.58759839
01:09.5,199.208017,30.58759839
01:09.6,199.208017,30.58759839
01:09.7,199.8684102,31.39244393
01:09.8,199.8684102,31.39244393
01:09.9,200.3830479,32.01766126
01:10.0,200.3830479,32.01766126
01:10.1,200.8033286,32.528101
01:10.2,200.8033286,32.528101
01:10.4,201.3250571,33.1643781
01:10.5,201.3250571,33.1643781
01:10.6,201.6958558,33.61704772
01:10.7,201.6958558,33.61704772
01:10.8,202.2156266,34.24857839
01:10.9,202.2156266,34.24857839
01:11.0,202.6046055,34.72181384
01:11.2,202.6046055,34.72181384
01:11.2,203.1542494,35.38895642
01:11.4,203.1542494,35.38895642
01:11.4,203.6843425,36.03312502
01:11.6,203.6843425,36.03312502
01:11.7,204.0836702,36.5214028
01:11.8,204.0836702,36.5214028
01:11.8,204.0836702,36.5214028
01:12.0,204.8692851,37.47738517
01:12.1,204.8692851,37.47738517
01:12.2,204.8692851,37.47738517
01:12.4,205.541706,38.29486159
01:12.4,205.541706,38.29486159
01:12.6,206.0612591,38.92793443
01:12.6,206.0612591,38.92793443
01:12.7,206.0612591,38.92793443
01:12.9,206.5814433,39.56102602
01:13.0,207.1022376,40.19489514
01:13.1,207.1022376,40.19489514
01:13.2,207.1022376,40.19489514
01:13.3,207.647704,40.85963561
01:13.4,207.647704,40.85963561
